pays,orange,aqua,black,blue,green,gray,lime,maroon,navy,olive,red,silver,teal,white,yellow
Afghanistan,0.8395061728395061,,31.12962962962963,,30.382716049382715,7.030864197530864,,,,0.9444444444444444,21.876543209876544,6.055555555555555,0.6358024691358025,1.1049382716049383,
Albania,,,11.518518518518519,,,,,2.2901234567901234,,,86.19135802469135,,,,
Algeria,,,0.037037037037037035,,45.901234567901234,0.2222222222222222,,0.36419753086419754,,,5.5246913580246915,0.36419753086419754,,47.58641975308642,
Andorra,27.993827160493826,,,,,5.425925925925926,,0.012345679012345678,32.22222222222222,0.5555555555555556,33.02469135802469,0.6111111111111112,,0.05555555555555555,0.09876543209876543
Angola,4.154320987654321,,46.97530864197531,,,,,0.07407407407407407,,0.6975308641975309,48.098765432098766,,,,
Antigua And Barbuda,5.12962962962963,,25.395061728395063,,,0.30864197530864196,,0.5740740740740741,,0.5555555555555556,49.48148148148148,0.25925925925925924,11.024691358024691,7.271604938271605,
Argentina,1.117283950617284,,,,,67.30864197530865,,,,0.19135802469135801,,3.450617283950617,,27.932098765432098,
Armenia,33.333333333333336,,,,,,,,33.333333333333336,,33.333333333333336,,,,
Australia,0.18518518518518517,,,,,0.7345679012345679,,,77.78395061728395,,8.88888888888889,2.734567901234568,0.4876543209876543,9.185185185185185,
Austria,,,,,,,,,,,66.66666666666667,2.2222222222222223,,31.11111111111111,
Azerbaijan,0.20987654320987653,33.333333333333336,,,33.333333333333336,,,,,,31.308641975308642,0.5432098765432098,,1.271604938271605,
The Bahamas,21.234567901234566,,21.65432098765432,,,,,0.012345679012345678,0.07407407407407407,0.09876543209876543,,,56.925925925925924,,
Bahrain,,,,,,0.2777777777777778,,,,,67.03703703703704,0.6172839506172839,,32.0679012345679,
Bangladesh,,,,,0.3395061728395062,,,0.2716049382716049,,0.2037037037037037,20.65432098765432,,78.53086419753086,,
Barbados,28.962962962962962,,3.2901234567901234,,,,,0.09259259259259259,66.66666666666667,0.9876543209876543,,,,,
Belarus,,,,,29.444444444444443,1.3580246913580247,,,,,64.23456790123457,2.345679012345679,,2.617283950617284,
Belgium,33.333333333333336,,33.333333333333336,,,,,,,,33.333333333333336,,,,
Belize,0.04938271604938271,,0.030864197530864196,,1.4259259259259258,2.080246913580247,,0.3271604938271605,63.80864197530864,1.154320987654321,20.0,5.074074074074074,0.20987654320987653,5.839506172839506,
Benin,30.0,,,,,,,,,,30.0,,40.0,,
Bhutan,84.44444444444444,,,,,0.5,,,,0.1419753086419753,0.018518518518518517,7.283950617283951,,7.611111111111111,
Bolivia,32.22222222222222,,,,33.333333333333336,,,,,1.1111111111111112,33.333333333333336,,,,
Bosnia And Herzegovina,24.72222222222222,,,,,0.5987654320987654,,,69.95679012345678,0.5493827160493827,,0.9259259259259259,0.20987654320987653,3.037037037037037,
Botswana,,,15.555555555555555,,,75.55555555555556,,,,,,2.2222222222222223,,6.666666666666667,
Brazil,17.098765432098766,,,,68.29629629629629,0.35185185185185186,,,11.537037037037036,0.9506172839506173,,1.0802469135802468,0.24691358024691357,0.4382716049382716,
Brunei,53.97530864197531,,17.22222222222222,,,0.8333333333333334,,0.9876543209876543,,0.9876543209876543,4.222222222222222,0.7777777777777778,,20.71604938271605,0.2777777777777778
Bulgaria,,,,,,,,,,,33.333333333333336,1.1111111111111112,32.22222222222222,33.333333333333336,
Burkina Faso,2.1481481481481484,,,,48.98765432098765,,,,,0.12345679012345678,48.74074074074074,,,,
Burundi,,,,,,0.9753086419753086,33.23456790123457,0.06790123456790123,,0.1728395061728395,30.450617283950617,1.3580246913580247,0.24691358024691357,33.49382716049383,
Cambodia,,,,,,3.4814814814814814,,0.3888888888888889,51.111111111111114,,38.39506172839506,3.425925925925926,,3.197530864197531,
Cameroon,34.60493827160494,,,,,,,,,0.12345679012345678,31.938271604938272,,33.333333333333336,,
Canada,0.07407407407407407,,,,,0.2962962962962963,,,,0.07407407407407407,63.117283950617285,0.8580246913580247,,35.58024691358025,
Cape Verde,1.5185185185185186,,,,,2.382716049382716,,,74.17901234567901,0.1111111111111111,6.660493827160494,,0.21604938271604937,14.932098765432098,
The Central African Republic,22.444444444444443,,,,20.098765432098766,0.6358024691358025,,,19.919753086419753,0.6481481481481481,15.555555555555555,0.5432098765432098,0.05555555555555555,20.098765432098766,
Chad,33.333333333333336,,,,,,,,33.333333333333336,,33.333333333333336,,,,
Chile,,,,,,0.06172839506172839,,,15.308641975308642,,50.0,0.29012345679012347,0.10493827160493827,34.23456790123457,
China,2.808641975308642,,,,,,,,,0.08024691358024691,97.11111111111111,,,,
Colombia,50.0,,,,,,,,24.444444444444443,,25.555555555555557,,,,
The Comoros,22.296296296296298,,,,20.746913580246915,0.4074074074074074,,0.08024691358024691,,0.3888888888888889,15.123456790123457,0.6666666666666666,22.40740740740741,17.882716049382715,
